State,MOTUSETECH,MOTUSETECH_LABEL,FIRMPDEMP,State Code,Region,Division
Idaho,T1E04C06,Artificial Intelligence: Some other reason,80,ID,West,Mountain
Idaho,T1E04C99,Artificial Intelligence: Total Reporting,832,ID,West,Mountain
Idaho,T1E04C01,Artificial Intelligence: To automate tasks performed by labor,390,ID,West,Mountain
Idaho,T1E04C02,Artificial Intelligence: To upgrade outdated processes or methods,278,ID,West,Mountain
Idaho,T1E04C03,Artificial Intelligence: To improve quality or reliability of processes or methods,430,ID,West,Mountain
Idaho,T1E04C04,Artificial Intelligence: To expand the range of goods or services,237,ID,West,Mountain
Illinois,T1E04C01,Artificial Intelligence: To automate tasks performed by labor,1771,IL,Midwest,East North Central
Illinois,T1E04C02,Artificial Intelligence: To upgrade outdated processes or methods,2446,IL,Midwest,East North Central
Illinois,T1E04C03,Artificial Intelligence: To improve quality or reliability of processes or methods,3488,IL,Midwest,East North Central
Illinois,T1E04C04,Artificial Intelligence: To expand the range of goods or services,1379,IL,Midwest,East North Central
Illinois,T1E04C05,Artificial Intelligence: To adopt standards and accreditation,871,IL,Midwest,East North Central
Illinois,T1E04C06,Artificial Intelligence: Some other reason,1101,IL,Midwest,East North Central
Illinois,T1E04C99,Artificial Intelligence: Total Reporting,6306,IL,Midwest,East North Central
Indiana,T1E04C01,Artificial Intelligence: To automate tasks performed by labor,843,IN,Midwest,East North Central
Indiana,T1E04C02,Artificial Intelligence: To upgrade outdated processes or methods,1414,IN,Midwest,East North Central
Indiana,T1E04C03,Artificial Intelligence: To improve quality or reliability of processes or methods,1412,IN,Midwest,East North Central
Indiana,T1E04C04,Artificial Intelligence: To expand the range of goods or services,766,IN,Midwest,East North Central
Indiana,T1E04C05,Artificial Intelligence: To adopt standards and accreditation,474,IN,Midwest,East North Central
Indiana,T1E04C06,Artificial Intelligence: Some other reason,495,IN,Midwest,East North Central
Indiana,T1E04C99,Artificial Intelligence: Total Reporting,2823,IN,Midwest,East North Central
Iowa,T1E04C01,Artificial Intelligence: To automate tasks performed by labor,543,IA,Midwest,West North Central
Iowa,T1E04C02,Artificial Intelligence: To upgrade outdated processes or methods,835,IA,Midwest,West North Central
Iowa,T1E04C03,Artificial Intelligence: To improve quality or reliability of processes or methods,868,IA,Midwest,West North Central
Iowa,T1E04C04,Artificial Intelligence: To expand the range of goods or services,462,IA,Midwest,West North Central
Iowa,T1E04C05,Artificial Intelligence: To adopt standards and accreditation,145,IA,Midwest,West North Central
Iowa,T1E04C06,Artificial Intelligence: Some other reason,491,IA,Midwest,West North Central
Iowa,T1E04C99,Artificial Intelligence: Total Reporting,1847,IA,Midwest,West North Central
Kansas,T1E04C01,Artificial Intelligence: To automate tasks performed by labor,475,KS,Midwest,West North Central
Kansas,T1E04C02,Artificial Intelligence: To upgrade outdated processes or methods,568,KS,Midwest,West North Central
Kansas,T1E04C03,Artificial Intelligence: To improve quality or reliability of processes or methods,715,KS,Midwest,West North Central
Kansas,T1E04C04,Artificial Intelligence: To expand the range of goods or services,524,KS,Midwest,West North Central
Kansas,T1E04C05,Artificial Intelligence: To adopt standards and accreditation,227,KS,Midwest,West North Central
Kansas,T1E04C06,Artificial Intelligence: Some other reason,408,KS,Midwest,West North Central
Kansas,T1E04C99,Artificial Intelligence: Total Reporting,1645,KS,Midwest,West North Central
Kentucky,T1E04C01,Artificial Intelligence: To automate tasks performed by labor,589,KY,South,East South Central
Kentucky,T1E04C02,Artificial Intelligence: To upgrade outdated processes or methods,759,KY,South,East South Central
Kentucky,T1E04C03,Artificial Intelligence: To improve quality or reliability of processes or methods,919,KY,South,East South Central
Kentucky,T1E04C04,Artificial Intelligence: To expand the range of goods or services,269,KY,South,East South Central
Kentucky,T1E04C05,Artificial Intelligence: To adopt standards and accreditation,188,KY,South,East South Central
Kentucky,T1E04C06,Artificial Intelligence: Some other reason,243,KY,South,East South Central
Kentucky,T1E04C99,Artificial Intelligence: Total Reporting,1658,KY,South,East South Central
Louisiana,T1E04C01,Artificial Intelligence: To automate tasks performed by labor,630,LA,South,West South Central
Louisiana,T1E04C02,Artificial Intelligence: To upgrade outdated processes or methods,786,LA,South,West South Central
Louisiana,T1E04C03,Artificial Intelligence: To improve quality or reliability of processes or methods,921,LA,South,West South Central
Louisiana,T1E04C04,Artificial Intelligence: To expand the range of goods or services,355,LA,South,West South Central
Louisiana,T1E04C05,Artificial Intelligence: To adopt standards and accreditation,133,LA,South,West South Central
Louisiana,T1E04C06,Artificial Intelligence: Some other reason,232,LA,South,West South Central
Louisiana,T1E04C99,Artificial Intelligence: Total Reporting,1653,LA,South,West South Central
Maryland,T1E04C01,Artificial Intelligence: To automate tasks performed by labor,1090,MD,South,South Atlantic
Maryland,T1E04C02,Artificial Intelligence: To upgrade outdated processes or methods,1089,MD,South,South Atlantic
Maryland,T1E04C03,Artificial Intelligence: To improve quality or reliability of processes or methods,1593,MD,South,South Atlantic
Maryland,T1E04C04,Artificial Intelligence: To expand the range of goods or services,732,MD,South,South Atlantic
Maryland,T1E04C05,Artificial Intelligence: To adopt standards and accreditation,469,MD,South,South Atlantic
Maryland,T1E04C06,Artificial Intelligence: Some other reason,349,MD,South,South Atlantic
Maryland,T1E04C99,Artificial Intelligence: Total Reporting,2930,MD,South,South Atlantic
Maine,T1E04C01,Artificial Intelligence: To automate tasks performed by labor,282,ME,Northeast,New England
Maine,T1E04C02,Artificial Intelligence: To upgrade outdated processes or methods,372,ME,Northeast,New England
Maine,T1E04C03,Artificial Intelligence: To improve quality or reliability of processes or methods,537,ME,Northeast,New England
Maine,T1E04C04,Artificial Intelligence: To expand the range of goods or services,78,ME,Northeast,New England
Maine,T1E04C05,Artificial Intelligence: To adopt standards and accreditation,91,ME,Northeast,New England
Maine,T1E04C06,Artificial Intelligence: Some other reason,130,ME,Northeast,New England
Maine,T1E04C99,Artificial Intelligence: Total Reporting,826,ME,Northeast,New England
Massachusetts,T1E04C01,Artificial Intelligence: To automate tasks performed by labor,761,MA,Northeast,New England
Massachusetts,T1E04C02,Artificial Intelligence: To upgrade outdated processes or methods,1149,MA,Northeast,New England
Massachusetts,T1E04C03,Artificial Intelligence: To improve quality or reliability of processes or methods,1540,MA,Northeast,New England
Massachusetts,T1E04C04,Artificial Intelligence: To expand the range of goods or services,863,MA,Northeast,New England
Massachusetts,T1E04C05,Artificial Intelligence: To adopt standards and accreditation,520,MA,Northeast,New England
Massachusetts,T1E04C06,Artificial Intelligence: Some other reason,535,MA,Northeast,New England
Massachusetts,T1E04C99,Artificial Intelligence: Total Reporting,2924,MA,Northeast,New England
Michigan,T1E04C01,Artificial Intelligence: To automate tasks performed by labor,1333,MI,Midwest,East North Central
Michigan,T1E04C02,Artificial Intelligence: To upgrade outdated processes or methods,1444,MI,Midwest,East North Central
Michigan,T1E04C03,Artificial Intelligence: To improve quality or reliability of processes or methods,2365,MI,Midwest,East North Central
Michigan,T1E04C04,Artificial Intelligence: To expand the range of goods or services,1131,MI,Midwest,East North Central
Michigan,T1E04C05,Artificial Intelligence: To adopt standards and accreditation,592,MI,Midwest,East North Central
Michigan,T1E04C06,Artificial Intelligence: Some other reason,532,MI,Midwest,East North Central
Michigan,T1E04C99,Artificial Intelligence: Total Reporting,3703,MI,Midwest,East North Central
Minnesota,T1E04C01,Artificial Intelligence: To automate tasks performed by labor,1110,MN,Midwest,West North Central
Minnesota,T1E04C02,Artificial Intelligence: To upgrade outdated processes or methods,1664,MN,Midwest,West North Central
Minnesota,T1E04C03,Artificial Intelligence: To improve quality or reliability of processes or methods,2136,MN,Midwest,West North Central
Minnesota,T1E04C04,Artificial Intelligence: To expand the range of goods or services,984,MN,Midwest,West North Central
Minnesota,T1E04C05,Artificial Intelligence: To adopt standards and accreditation,540,MN,Midwest,West North Central
Minnesota,T1E04C06,Artificial Intelligence: Some other reason,383,MN,Midwest,West North Central
Minnesota,T1E04C99,Artificial Intelligence: Total Reporting,3413,MN,Midwest,West North Central
Mississippi,T1E04C03,Artificial Intelligence: To improve quality or reliability of processes or methods,654,MS,South,East South Central
Mississippi,T1E04C04,Artificial Intelligence: To expand the range of goods or services,345,MS,South,East South Central
Mississippi,T1E04C05,Artificial Intelligence: To adopt standards and accreditation,98,MS,South,East South Central
Mississippi,T1E04C06,Artificial Intelligence: Some other reason,238,MS,South,East South Central
Mississippi,T1E04C99,Artificial Intelligence: Total Reporting,1159,MS,South,East South Central
Mississippi,T1E04C01,Artificial Intelligence: To automate tasks performed by labor,224,MS,South,East South Central
Mississippi,T1E04C02,Artificial Intelligence: To upgrade outdated processes or methods,380,MS,South,East South Central
Missouri,T1E04C01,Artificial Intelligence: To automate tasks performed by labor,754,MO,Midwest,West North Central
Missouri,T1E04C02,Artificial Intelligence: To upgrade outdated processes or methods,855,MO,Midwest,West North Central
Missouri,T1E04C03,Artificial Intelligence: To improve quality or reliability of processes or methods,1318,MO,Midwest,West North Central
Missouri,T1E04C04,Artificial Intelligence: To expand the range of goods or services,339,MO,Midwest,West North Central
Missouri,T1E04C05,Artificial Intelligence: To adopt standards and accreditation,157,MO,Midwest,West North Central
Missouri,T1E04C06,Artificial Intelligence: Some other reason,557,MO,Midwest,West North Central
Missouri,T1E04C99,Artificial Intelligence: Total Reporting,2406,MO,Midwest,West North Central
Montana,T1E04C01,Artificial Intelligence: To automate tasks performed by labor,293,MT,West,Mountain
Montana,T1E04C02,Artificial Intelligence: To upgrade outdated processes or methods,315,MT,West,Mountain
Montana,T1E04C03,Artificial Intelligence: To improve quality or reliability of processes or methods,445,MT,West,Mountain
Montana,T1E04C04,Artificial Intelligence: To expand the range of goods or services,99,MT,West,Mountain
Montana,T1E04C05,Artificial Intelligence: To adopt standards and accreditation,156,MT,West,Mountain
Montana,T1E04C06,Artificial Intelligence: Some other reason,364,MT,West,Mountain
Montana,T1E04C99,Artificial Intelligence: Total Reporting,967,MT,West,Mountain
Nebraska,T1E04C01,Artificial Intelligence: To automate tasks performed by labor,405,NE,Midwest,West North Central
Nebraska,T1E04C02,Artificial Intelligence: To upgrade outdated processes or methods,373,NE,Midwest,West North Central
Nebraska,T1E04C03,Artificial Intelligence: To improve quality or reliability of processes or methods,548,NE,Midwest,West North Central
Nebraska,T1E04C04,Artificial Intelligence: To expand the range of goods or services,278,NE,Midwest,West North Central
Nebraska,T1E04C05,Artificial Intelligence: To adopt standards and accreditation,37,NE,Midwest,West North Central
Nebraska,T1E04C06,Artificial Intelligence: Some other reason,236,NE,Midwest,West North Central
Nebraska,T1E04C99,Artificial Intelligence: Total Reporting,1087,NE,Midwest,West North Central
Nevada,T1E04C01,Artificial Intelligence: To automate tasks performed by labor,388,NV,West,Mountain
Nevada,T1E04C02,Artificial Intelligence: To upgrade outdated processes or methods,462,NV,West,Mountain
Nevada,T1E04C03,Artificial Intelligence: To improve quality or reliability of processes or methods,710,NV,West,Mountain
Nevada,T1E04C04,Artificial Intelligence: To expand the range of goods or services,364,NV,West,Mountain
Nevada,T1E04C05,Artificial Intelligence: To adopt standards and accreditation,153,NV,West,Mountain
Nevada,T1E04C06,Artificial Intelligence: Some other reason,390,NV,West,Mountain
Nevada,T1E04C99,Artificial Intelligence: Total Reporting,1417,NV,West,Mountain
New Jersey,T1E04C03,Artificial Intelligence: To improve quality or reliability of processes or methods,2294,NJ,Northeast,Middle Atlantic
New Jersey,T1E04C04,Artificial Intelligence: To expand the range of goods or services,1577,NJ,Northeast,Middle Atlantic
New Jersey,T1E04C05,Artificial Intelligence: To adopt standards and accreditation,563,NJ,Northeast,Middle Atlantic
New Jersey,T1E04C06,Artificial Intelligence: Some other reason,709,NJ,Northeast,Middle Atlantic
New Jersey,T1E04C99,Artificial Intelligence: Total Reporting,5047,NJ,Northeast,Middle Atlantic
New Jersey,T1E04C01,Artificial Intelligence: To automate tasks performed by labor,1333,NJ,Northeast,Middle Atlantic
New Jersey,T1E04C02,Artificial Intelligence: To upgrade outdated processes or methods,1932,NJ,Northeast,Middle Atlantic
New Hampshire,T1E04C01,Artificial Intelligence: To automate tasks performed by labor,363,NH,Northeast,New England
New Hampshire,T1E04C02,Artificial Intelligence: To upgrade outdated processes or methods,421,NH,Northeast,New England
New Hampshire,T1E04C03,Artificial Intelligence: To improve quality or reliability of processes or methods,370,NH,Northeast,New England
New Hampshire,T1E04C04,Artificial Intelligence: To expand the range of goods or services,129,NH,Northeast,New England
New Hampshire,T1E04C05,Artificial Intelligence: To adopt standards and accreditation,63,NH,Northeast,New England
New Hampshire,T1E04C06,Artificial Intelligence: Some other reason,79,NH,Northeast,New England
New Hampshire,T1E04C99,Artificial Intelligence: Total Reporting,734,NH,Northeast,New England
New York,T1E04C01,Artificial Intelligence: To automate tasks performed by labor,2224,NY,Northeast,Middle Atlantic
New York,T1E04C02,Artificial Intelligence: To upgrade outdated processes or methods,3168,NY,Northeast,Middle Atlantic
New York,T1E04C03,Artificial Intelligence: To improve quality or reliability of processes or methods,3972,NY,Northeast,Middle Atlantic
New York,T1E04C04,Artificial Intelligence: To expand the range of goods or services,2088,NY,Northeast,Middle Atlantic
New York,T1E04C05,Artificial Intelligence: To adopt standards and accreditation,966,NY,Northeast,Middle Atlantic
New York,T1E04C06,Artificial Intelligence: Some other reason,2052,NY,Northeast,Middle Atlantic
New York,T1E04C99,Artificial Intelligence: Total Reporting,9166,NY,Northeast,Middle Atlantic
New Mexico,T1E04C01,Artificial Intelligence: To automate tasks performed by labor,342,NM,West,Mountain
New Mexico,T1E04C02,Artificial Intelligence: To upgrade outdated processes or methods,358,NM,West,Mountain
New Mexico,T1E04C03,Artificial Intelligence: To improve quality or reliability of processes or methods,468,NM,West,Mountain
New Mexico,T1E04C04,Artificial Intelligence: To expand the range of goods or services,316,NM,West,Mountain
New Mexico,T1E04C05,Artificial Intelligence: To adopt standards and accreditation,138,NM,West,Mountain
New Mexico,T1E04C06,Artificial Intelligence: Some other reason,108,NM,West,Mountain
New Mexico,T1E04C99,Artificial Intelligence: Total Reporting,778,NM,West,Mountain
North Carolina,T1E04C01,Artificial Intelligence: To automate tasks performed by labor,1506,NC,South,South Atlantic
North Carolina,T1E04C02,Artificial Intelligence: To upgrade outdated processes or methods,1769,NC,South,South Atlantic
North Carolina,T1E04C03,Artificial Intelligence: To improve quality or reliability of processes or methods,2173,NC,South,South Atlantic
North Carolina,T1E04C04,Artificial Intelligence: To expand the range of goods or services,1049,NC,South,South Atlantic
North Carolina,T1E04C05,Artificial Intelligence: To adopt standards and accreditation,499,NC,South,South Atlantic
North Carolina,T1E04C06,Artificial Intelligence: Some other reason,804,NC,South,South Atlantic
North Carolina,T1E04C99,Artificial Intelligence: Total Reporting,4460,NC,South,South Atlantic
North Dakota,T1E04C01,Artificial Intelligence: To automate tasks performed by labor,182,ND,Midwest,West North Central
North Dakota,T1E04C02,Artificial Intelligence: To upgrade outdated processes or methods,202,ND,Midwest,West North Central
North Dakota,T1E04C03,Artificial Intelligence: To improve quality or reliability of processes or methods,127,ND,Midwest,West North Central
North Dakota,T1E04C04,Artificial Intelligence: To expand the range of goods or services,64,ND,Midwest,West North Central
North Dakota,T1E04C05,Artificial Intelligence: To adopt standards and accreditation,24,ND,Midwest,West North Central
North Dakota,T1E04C06,Artificial Intelligence: Some other reason,43,ND,Midwest,West North Central
North Dakota,T1E04C99,Artificial Intelligence: Total Reporting,346,ND,Midwest,West North Central
Ohio,T1E04C01,Artificial Intelligence: To automate tasks performed by labor,1364,OH,Midwest,East North Central
Ohio,T1E04C02,Artificial Intelligence: To upgrade outdated processes or methods,2323,OH,Midwest,East North Central
Ohio,T1E04C03,Artificial Intelligence: To improve quality or reliability of processes or methods,2521,OH,Midwest,East North Central
Ohio,T1E04C04,Artificial Intelligence: To expand the range of goods or services,1320,OH,Midwest,East North Central
Ohio,T1E04C05,Artificial Intelligence: To adopt standards and accreditation,644,OH,Midwest,East North Central
Ohio,T1E04C06,Artificial Intelligence: Some other reason,676,OH,Midwest,East North Central
Ohio,T1E04C99,Artificial Intelligence: Total Reporting,4997,OH,Midwest,East North Central
Oklahoma,T1E04C01,Artificial Intelligence: To automate tasks performed by labor,709,OK,South,West South Central
Oklahoma,T1E04C02,Artificial Intelligence: To upgrade outdated processes or methods,955,OK,South,West South Central
Oklahoma,T1E04C03,Artificial Intelligence: To improve quality or reliability of processes or methods,1015,OK,South,West South Central
Oklahoma,T1E04C04,Artificial Intelligence: To expand the range of goods or services,422,OK,South,West South Central
Oklahoma,T1E04C05,Artificial Intelligence: To adopt standards and accreditation,199,OK,South,West South Central
Oklahoma,T1E04C06,Artificial Intelligence: Some other reason,164,OK,South,West South Central
Oklahoma,T1E04C99,Artificial Intelligence: Total Reporting,1688,OK,South,West South Central
Oregon,T1E04C01,Artificial Intelligence: To automate tasks performed by labor,906,OR,West,Pacific
Oregon,T1E04C02,Artificial Intelligence: To upgrade outdated processes or methods,1065,OR,West,Pacific
Oregon,T1E04C03,Artificial Intelligence: To improve quality or reliability of processes or methods,1346,OR,West,Pacific
Oregon,T1E04C04,Artificial Intelligence: To expand the range of goods or services,553,OR,West,Pacific
Oregon,T1E04C05,Artificial Intelligence: To adopt standards and accreditation,313,OR,West,Pacific
Oregon,T1E04C06,Artificial Intelligence: Some other reason,366,OR,West,Pacific
Oregon,T1E04C99,Artificial Intelligence: Total Reporting,2368,OR,West,Pacific
Pennsylvania,T1E04C01,Artificial Intelligence: To automate tasks performed by labor,1703,PA,Northeast,Middle Atlantic
Pennsylvania,T1E04C02,Artificial Intelligence: To upgrade outdated processes or methods,2210,PA,Northeast,Middle Atlantic
Pennsylvania,T1E04C03,Artificial Intelligence: To improve quality or reliability of processes or methods,2719,PA,Northeast,Middle Atlantic
Pennsylvania,T1E04C04,Artificial Intelligence: To expand the range of goods or services,1262,PA,Northeast,Middle Atlantic
Pennsylvania,T1E04C05,Artificial Intelligence: To adopt standards and accreditation,800,PA,Northeast,Middle Atlantic
Pennsylvania,T1E04C06,Artificial Intelligence: Some other reason,1027,PA,Northeast,Middle Atlantic
Pennsylvania,T1E04C99,Artificial Intelligence: Total Reporting,5411,PA,Northeast,Middle Atlantic
South Carolina,T1E04C01,Artificial Intelligence: To automate tasks performed by labor,588,SC,South,South Atlantic
South Carolina,T1E04C02,Artificial Intelligence: To upgrade outdated processes or methods,781,SC,South,South Atlantic
South Carolina,T1E04C03,Artificial Intelligence: To improve quality or reliability of processes or methods,945,SC,South,South Atlantic
South Carolina,T1E04C04,Artificial Intelligence: To expand the range of goods or services,284,SC,South,South Atlantic
South Carolina,T1E04C05,Artificial Intelligence: To adopt standards and accreditation,159,SC,South,South Atlantic
South Carolina,T1E04C06,Artificial Intelligence: Some other reason,474,SC,South,South Atlantic
South Carolina,T1E04C99,Artificial Intelligence: Total Reporting,2201,SC,South,South Atlantic
Rhode Island,T1E04C01,Artificial Intelligence: To automate tasks performed by labor,152,RI,Northeast,New England
Rhode Island,T1E04C02,Artificial Intelligence: To upgrade outdated processes or methods,135,RI,Northeast,New England
Rhode Island,T1E04C03,Artificial Intelligence: To improve quality or reliability of processes or methods,180,RI,Northeast,New England
Rhode Island,T1E04C04,Artificial Intelligence: To expand the range of goods or services,54,RI,Northeast,New England
Rhode Island,T1E04C05,Artificial Intelligence: To adopt standards and accreditation,37,RI,Northeast,New England
Rhode Island,T1E04C06,Artificial Intelligence: Some other reason,78,RI,Northeast,New England
Rhode Island,T1E04C99,Artificial Intelligence: Total Reporting,334,RI,Northeast,New England
South Dakota,T1E04C01,Artificial Intelligence: To automate tasks performed by labor,252,SD,Midwest,West North Central
South Dakota,T1E04C02,Artificial Intelligence: To upgrade outdated processes or methods,248,SD,Midwest,West North Central
South Dakota,T1E04C03,Artificial Intelligence: To improve quality or reliability of processes or methods,285,SD,Midwest,West North Central
South Dakota,T1E04C04,Artificial Intelligence: To expand the range of goods or services,279,SD,Midwest,West North Central
